category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:23558541	7	15	9606	CYP51A1,MSMO1,SC5D,SQLE,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,LBR,DHCR7,NSDHL	4.81e-16	2.22e-10	(2013) Steroidal triterpenes of cholesterol synthesis.
PMID	PMID:31178723	8	42	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ITPR3,OPRM1,KCNH6	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ITPR3,OPRM1,KCNH6	1.43e-15	5.65e-10	(2019) The Roles of Intracellular Chaperone Proteins, Sigma Receptors, in Parkinsons Disease (PD) and Major Depressive Disorder (MDD).
PMID	PMID:37236669	7	19	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.85e-15	6.79e-10	(2023) A new metabolic model of Drosophila melanogaster and the integrative analysis of Parkinsons disease.
PMID	PMID:32788456	7	19	9606	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ITPR3,KCNH6	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ITPR3,KCNH6	1.85e-15	6.79e-10	(2021) Sigma-1 receptor: culprit and rescuer in motor neuron diseases.
PMID	PMID:28484475	7	19	9606	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,HSD3B1,NSDHL	CYP51A1,SC5D,SQLE,TM7SF2,DHCR7,HSD3B1,NSDHL	1.85e-15	6.79e-10	(2017) De novo Sequencing and Transcriptome Analysis Reveal Key Genes Regulating Steroid Metabolism in Leaves, Roots, Adventitious Roots and Calli of Periploca sepium Bunge.
PMID	PMID:23125191	8	45	9606	CYP51A1,ERG28,MSMO1,SQLE,TM7SF2,LBR,NSDHL,KCNH6	CYP51A1,ERG28,MSMO1,SQLE,TM7SF2,LBR,NSDHL,KCNH6	2.35e-15	7.12e-10	(2013) Targeting C4-demethylating genes in the cholesterol pathway sensitizes cancer cells to EGF receptor inhibitors via increased EGF receptor degradation.
PMID	PMID:33260926	7	20	9606	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ITPR3,KCNH6	TMEM97,SIGMAR1,TMBIM4,ITPR1,HSPA5,ITPR3,KCNH6	2.49e-15	7.13e-10	(2020) Pan-Sigma Receptor Modulator RC-106 Induces Terminal Unfolded Protein Response In In Vitro Pancreatic Cancer Model.
PMID	PMID:27334049	7	21	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	3.32e-15	9e-10	(2016) Cytochrome P450 metabolism of the post-lanosterol intermediates explains enigmas of cholesterol synthesis.
PMID	PMID:27878435	8	51	9606	CYP51A1,SC5D,SQLE,SIGMAR1,TM7SF2,HSD3B7,DHCR7,NSDHL	CYP51A1,SC5D,SQLE,SIGMAR1,TM7SF2,HSD3B7,DHCR7,NSDHL	5.86e-15	1.51e-09	(2017) Novel phenotypes and loci identified through clinical genomics approaches to pediatric cataract.
PMID	PMID:34305655	8	52	9606	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ANK2,ITPR3,KCNH6	TMEM97,SIGMAR1,ITPR1,HSPA5,KCNA4,ANK2,ITPR3,KCNH6	6.75e-15	1.65e-09	(2021) Sigmar1s Molecular, Cellular, and Biological Functions in Regulating Cellular Pathophysiology.
PMID	PMID:37888291	6	8	9606	CYP51A1,ERG28,MSMO1,SQLE,TM7SF2,LBR	CYP51A1,ERG28,MSMO1,SQLE,TM7SF2,LBR	8.4e-15	1.96e-09	(2023) Evaluation of Antifungal Selective Toxicity Using Candida glabrata ERG25 and Human SC4MOL Knock-In Strains.
PMID	PMID:20054815	7	25	9606	CYP51A1,MSMO1,SQLE,LBR,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SQLE,LBR,DHCR7,NSDHL,CH25H	9.41e-15	2.11e-09	(2010) Cholesterol homeostasis markers are localized to mouse hippocampal pyramidal and granule layers.
PMID	PMID:30867220	7	26	9606	CYP51A1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL	1.19e-14	2.56e-09	(2019) Intratumoral Sterol-27-Hydroxylase (CYP27A1) Expression in Relation to Cholesterol Synthesis and Vitamin D Signaling and Its Association with Lethal Prostate Cancer.
PMID	PMID:24025456	7	26	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL	1.19e-14	2.56e-09	(2013) Sex differences in the hepatic cholesterol sensing mechanisms in mice.
PMID	PMID:35170763	8	61	9606	CYP51A1,MSMO1,SQLE,SIGMAR1,ITPR1,LBR,DHCR7,ITPR3	CYP51A1,MSMO1,SQLE,SIGMAR1,ITPR1,LBR,DHCR7,ITPR3	2.19e-14	4.33e-09	(2022) Order through destruction: how ER-associated protein degradation contributes to organelle homeostasis.
PMID	PMID:34690800	8	61	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,DHCR7,NSDHL,CH25H	2.19e-14	4.33e-09	(2021) Sterols, Oxysterols, and Accessible Cholesterol: Signalling for Homeostasis, in Immunity and During Development.
PMID	PMID:18545656	8	61	9606	CYP51A1,SC5D,SQLE,SIGMAR1,TM7SF2,DHCR7,HSD3B1,NSDHL	CYP51A1,SC5D,SQLE,SIGMAR1,TM7SF2,DHCR7,HSD3B1,NSDHL	2.19e-14	4.33e-09	(2008) Homeostatic imbalance between apoptosis and cell renewal in the liver of premature aging Xpd mice.
