category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005783	12	1095	9606	CYP51A1,TMEM97,SQLE,SIGMAR1,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3	CYP51A1,TMEM97,SQLE,SIGMAR1,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3	4.27e-09	9.83e-06	Endoplasmic reticulum
COMPARTMENTS	GOCC:0016021	12	1507	9606	ERG28,SQLE,SIGMAR1,HSPA9,ITPR1,HSPA5,KCNA4,LBR,DRD2,ITPR3,VDAC1,OPRM1	ERG28,SQLE,SIGMAR1,HSPA9,ITPR1,HSPA5,KCNA4,LBR,DRD2,ITPR3,VDAC1,OPRM1	1.45e-07	0.00017	Integral component of membrane
COMPARTMENTS	GOCC:0042175	8	560	9606	SQLE,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,ITPR3	SQLE,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,ITPR3	4.45e-07	0.00026	Nuclear outer membrane-endoplasmic reticulum membrane network
COMPARTMENTS	GOCC:0016020	20	5715	9606	CYP51A1,TMEM97,ERG28,SQLE,SIGMAR1,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,ITPR3,VDAC1,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,SQLE,SIGMAR1,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,ITPR3,VDAC1,OPRM1,KCNH6	6.05e-07	0.00028	Membrane
COMPARTMENTS	GOCC:0012505	15	3156	9606	CYP51A1,TMEM97,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3,OPRM1	CYP51A1,TMEM97,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,ITPR3,OPRM1	1.56e-06	0.0006	Endomembrane system
COMPARTMENTS	GOCC:0031090	13	2290	9606	TMEM97,SQLE,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,DRD2,HSD3B1,ITPR3,VDAC1	TMEM97,SQLE,TM7SF2,HSPA9,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,DRD2,HSD3B1,ITPR3,VDAC1	1.72e-06	0.0006	Organelle membrane
COMPARTMENTS	GOCC:0031984	8	739	9606	SQLE,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	SQLE,TMBIM4,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	3.47e-06	0.0009	Organelle subcompartment
COMPARTMENTS	GOCC:0098827	7	502	9606	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	3.14e-06	0.0009	Endoplasmic reticulum subcompartment
COMPARTMENTS	GOCC:0005789	7	538	9606	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	SQLE,HSD3B7,ITPR1,HSPA5,LBR,HSD3B1,ITPR3	4.93e-06	0.0011	Endoplasmic reticulum membrane
COMPARTMENTS	GOCC:0031967	8	832	9606	TMEM97,SIGMAR1,TM7SF2,HSPA9,LBR,DHCR7,HSD3B1,VDAC1	TMEM97,SIGMAR1,TM7SF2,HSPA9,LBR,DHCR7,HSD3B1,VDAC1	8.25e-06	0.0017	Organelle envelope
COMPARTMENTS	GOCC:0005635	5	313	9606	TMEM97,SIGMAR1,TM7SF2,LBR,DHCR7	TMEM97,SIGMAR1,TM7SF2,LBR,DHCR7	5.26e-05	0.0093	Nuclear envelope
COMPARTMENTS	GOCC:0031095	2	8	9606	ITPR1,ITPR3	ITPR1,ITPR3	7.47e-05	0.0123	Platelet dense tubular network membrane
COMPARTMENTS	GOCC:1990425	2	8	9606	ITPR1,ITPR3	ITPR1,ITPR3	7.47e-05	0.0123	Ryanodine receptor complex
COMPARTMENTS	GOCC:0031965	4	184	9606	TMEM97,TM7SF2,LBR,DHCR7	TMEM97,TM7SF2,LBR,DHCR7	0.0001	0.0146	Nuclear membrane
COMPARTMENTS	GOCC:0098796	8	1353	9606	CYP51A1,HSPA9,ITPR1,HSPA5,KCNA4,ITPR3,VDAC1,OPRM1	CYP51A1,HSPA9,ITPR1,HSPA5,KCNA4,ITPR3,VDAC1,OPRM1	0.00026	0.0327	Membrane protein complex
Process	GO:0006694	13	116	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,HSD3B1,NSDHL,CH25H	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,HSD3B1,NSDHL,CH25H	2.08e-22	3.27e-18	Steroid biosynthetic process
Process	GO:0016126	11	45	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,FAXDC2,LBR,DHCR7,NSDHL,CH25H	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,FAXDC2,LBR,DHCR7,NSDHL,CH25H	2.54e-22	3.27e-18	Sterol biosynthetic process
Process	GO:1901617	12	172	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,NSDHL,CH25H	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,NSDHL,CH25H	2.6e-18	1.36e-14	Organic hydroxy compound biosynthetic process
Process	GO:1901615	13	478	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,DRD2,NSDHL,CH25H	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,DRD2,NSDHL,CH25H	9.32e-15	2.44e-11	Organic hydroxy compound metabolic process
Process	GO:0008203	9	119	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,LBR,DHCR7,NSDHL,CH25H	4.37e-14	9.78e-11	Cholesterol metabolic process
Process	GO:0006695	7	38	9606	CYP51A1,MSMO1,SC5D,TM7SF2,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,TM7SF2,LBR,DHCR7,NSDHL	1.26e-13	1.97e-10	Cholesterol biosynthetic process
Process	GO:0044283	8	446	9606	CYP51A1,MSMO1,SC5D,TM7SF2,HSD3B7,LBR,DHCR7,NSDHL	CYP51A1,MSMO1,SC5D,TM7SF2,HSD3B7,LBR,DHCR7,NSDHL	8.04e-08	7.88e-05	Small molecule biosynthetic process
Process	GO:0044281	11	1645	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,NSDHL,CH25H,VDAC1	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,LBR,DHCR7,NSDHL,CH25H,VDAC1	3.33e-06	0.0031	Small molecule metabolic process
Process	GO:1901360	14	3181	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H	CYP51A1,ERG28,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H	1.15e-05	0.009	Organic cyclic compound metabolic process
Process	GO:0006816	5	246	9606	ITPR1,ANK2,DRD2,ITPR3,OPRM1	ITPR1,ANK2,DRD2,ITPR3,OPRM1	1.69e-05	0.0123	Calcium ion transport
Process	GO:0030001	7	649	9606	ITPR1,KCNA4,ANK2,DRD2,ITPR3,OPRM1,KCNH6	ITPR1,KCNA4,ANK2,DRD2,ITPR3,OPRM1,KCNH6	1.65e-05	0.0123	Metal ion transport
Process	GO:0033489	2	4	9606	SC5D,DHCR7	SC5D,DHCR7	2.5e-05	0.017	Cholesterol biosynthetic process via desmosterol
Process	GO:0033490	2	4	9606	SC5D,DHCR7	SC5D,DHCR7	2.5e-05	0.017	Cholesterol biosynthetic process via lathosterol
Process	GO:0051282	4	130	9606	ITPR1,ANK2,DRD2,ITPR3	ITPR1,ANK2,DRD2,ITPR3	2.71e-05	0.017	Regulation of sequestering of calcium ion
Process	GO:0042220	3	47	9606	HSPA5,DRD2,OPRM1	HSPA5,DRD2,OPRM1	3.82e-05	0.0231	Response to cocaine
Process	GO:0034765	6	504	9606	KCNA4,ANK2,DRD2,VDAC1,OPRM1,KCNH6	KCNA4,ANK2,DRD2,VDAC1,OPRM1,KCNH6	4.3e-05	0.025	Regulation of ion transmembrane transport
Process	GO:0007270	2	6	9606	DRD2,VDAC1	DRD2,VDAC1	4.66e-05	0.0261	Neuron-neuron synaptic transmission
Process	GO:0035754	2	6	9606	HSD3B7,CH25H	HSD3B7,CH25H	4.66e-05	0.0261	B cell chemotaxis
Process	GO:0051209	3	52	9606	ITPR1,DRD2,ITPR3	ITPR1,DRD2,ITPR3	5.1e-05	0.0261	Release of sequestered calcium ion into cytosol
Process	GO:0050709	3	62	9606	CYP51A1,DRD2,OPRM1	CYP51A1,DRD2,OPRM1	8.41e-05	0.04	Negative regulation of protein secretion
Process	GO:0048149	2	9	9606	DRD2,OPRM1	DRD2,OPRM1	9.12e-05	0.0421	Behavioral response to ethanol
Component	GO:0005789	18	1157	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3	7.8e-17	1.6e-13	Endoplasmic reticulum membrane
Component	GO:0031984	19	1479	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3	1.89e-16	1.6e-13	Organelle subcompartment
Component	GO:0005783	19	2021	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3,OPRM1	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,HSD3B1,NSDHL,CH25H,ITPR3,OPRM1	5.64e-14	2.31e-11	Endoplasmic reticulum
Component	GO:0016021	25	5670	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,KCNA4,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,KCNA4,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	5.89e-13	2.01e-10	Integral component of membrane
Component	GO:0031090	22	3673	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1	6.44e-13	2.01e-10	Organelle membrane
Component	GO:0012505	22	4721	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,OPRM1	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,OPRM1	1.23e-10	2.8e-08	Endomembrane system
Component	GO:0016020	26	9523	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	6.32e-09	1.29e-06	Membrane
Component	GO:0031965	7	305	9606	TMEM97,SIGMAR1,TM7SF2,ITPR1,LBR,DHCR7,ITPR3	TMEM97,SIGMAR1,TM7SF2,ITPR1,LBR,DHCR7,ITPR3	1.18e-07	2.19e-05	Nuclear membrane
Component	GO:0005637	4	65	9606	SIGMAR1,TM7SF2,ITPR1,LBR	SIGMAR1,TM7SF2,ITPR1,LBR	1.93e-06	0.00033	Nuclear inner membrane
Component	GO:0031967	10	1262	9606	TMEM97,SIGMAR1,TM7SF2,HSPA9,ITPR1,LBR,DHCR7,HSD3B1,ITPR3,VDAC1	TMEM97,SIGMAR1,TM7SF2,HSPA9,ITPR1,LBR,DHCR7,HSD3B1,ITPR3,VDAC1	2.46e-06	0.00039	Organelle envelope
Component	GO:0005640	3	29	9606	SIGMAR1,DHCR7,ITPR3	SIGMAR1,DHCR7,ITPR3	9.83e-06	0.0013	Nuclear outer membrane
Component	GO:0031968	5	236	9606	SIGMAR1,HSPA9,DHCR7,ITPR3,VDAC1	SIGMAR1,HSPA9,DHCR7,ITPR3,VDAC1	1.39e-05	0.0017	Organelle outer membrane
Component	GO:0019866	6	566	9606	SIGMAR1,TM7SF2,HSPA9,ITPR1,LBR,HSD3B1	SIGMAR1,TM7SF2,HSPA9,ITPR1,LBR,HSD3B1	8.13e-05	0.0088	Organelle inner membrane
Component	GO:0031095	2	9	9606	ITPR1,ITPR3	ITPR1,ITPR3	9.12e-05	0.0093	Platelet dense tubular network membrane
Component	GO:0098794	6	621	9606	SIGMAR1,ITPR1,KCNA4,ANK2,DRD2,OPRM1	SIGMAR1,ITPR1,KCNA4,ANK2,DRD2,OPRM1	0.00013	0.0126	Postsynapse
Component	GO:0031301	5	392	9606	TM7SF2,HSPA9,HSPA5,LBR,DHCR7	TM7SF2,HSPA9,HSPA5,LBR,DHCR7	0.00015	0.0133	Integral component of organelle membrane
Component	GO:0098588	10	2125	9606	TMEM97,SIGMAR1,TMBIM4,HSPA9,ITPR1,DHCR7,DRD2,HSD3B1,ITPR3,VDAC1	TMEM97,SIGMAR1,TMBIM4,HSPA9,ITPR1,DHCR7,DRD2,HSD3B1,ITPR3,VDAC1	0.00022	0.0183	Bounding membrane of organelle
Component	GO:0005811	3	100	9606	SIGMAR1,HSD3B7,NSDHL	SIGMAR1,HSD3B7,NSDHL	0.00033	0.0259	Lipid droplet
Component	GO:0005737	24	12056	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1	0.00043	0.0316	Cytoplasm
Component	GO:0045211	4	268	9606	SIGMAR1,ANK2,DRD2,OPRM1	SIGMAR1,ANK2,DRD2,OPRM1	0.00042	0.0316	Postsynaptic membrane
Component	GO:0043231	24	12149	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1	0.0005	0.0354	Intracellular membrane-bounded organelle
Function	GO:0016491	12	731	9606	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,HSD3B1,NSDHL,CH25H	CYP51A1,MSMO1,SC5D,SQLE,TM7SF2,HSD3B7,FAXDC2,LBR,DHCR7,HSD3B1,NSDHL,CH25H	4.44e-11	2.19e-07	Oxidoreductase activity
Function	GO:0000254	3	3	9606	MSMO1,FAXDC2,CH25H	MSMO1,FAXDC2,CH25H	4.06e-08	0.0001	C-4 methylsterol oxidase activity
Function	GO:0003854	3	6	9606	HSD3B7,HSD3B1,NSDHL	HSD3B7,HSD3B1,NSDHL	1.7e-07	0.00019	3-beta-hydroxy-delta5-steroid dehydrogenase activity
Function	GO:0016705	6	177	9606	CYP51A1,MSMO1,SC5D,SQLE,FAXDC2,CH25H	CYP51A1,MSMO1,SC5D,SQLE,FAXDC2,CH25H	1.16e-07	0.00019	Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
Function	GO:0004497	5	103	9606	CYP51A1,MSMO1,SQLE,FAXDC2,CH25H	CYP51A1,MSMO1,SQLE,FAXDC2,CH25H	2.69e-07	0.00022	Monooxygenase activity
Function	GO:0005506	5	155	9606	CYP51A1,MSMO1,SC5D,FAXDC2,CH25H	CYP51A1,MSMO1,SC5D,FAXDC2,CH25H	1.89e-06	0.0013	Iron ion binding
Function	GO:0022836	6	340	9606	ITPR1,KCNA4,ITPR3,VDAC1,OPRM1,KCNH6	ITPR1,KCNA4,ITPR3,VDAC1,OPRM1,KCNH6	4.77e-06	0.0029	Gated channel activity
Function	GO:0016628	3	29	9606	TM7SF2,LBR,DHCR7	TM7SF2,LBR,DHCR7	9.83e-06	0.0054	Oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
Function	GO:0050613	2	2	9606	TM7SF2,LBR	TM7SF2,LBR	1e-05	0.0054	delta14-sterol reductase activity
Function	GO:0005220	2	3	9606	ITPR1,ITPR3	ITPR1,ITPR3	1.67e-05	0.0068	Inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
Function	GO:0005216	6	437	9606	ITPR1,KCNA4,ITPR3,VDAC1,OPRM1,KCNH6	ITPR1,KCNA4,ITPR3,VDAC1,OPRM1,KCNH6	1.95e-05	0.0074	Ion channel activity
Function	GO:0004985	2	5	9606	SIGMAR1,OPRM1	SIGMAR1,OPRM1	3.49e-05	0.0114	G protein-coupled opioid receptor activity
Function	GO:0050661	3	52	9606	TM7SF2,LBR,DHCR7	TM7SF2,LBR,DHCR7	5.1e-05	0.014	NADP binding
Function	GO:0005261	5	337	9606	ITPR1,KCNA4,ITPR3,OPRM1,KCNH6	ITPR1,KCNA4,ITPR3,OPRM1,KCNH6	7.42e-05	0.0193	Cation channel activity
Function	GO:0005244	4	201	9606	KCNA4,VDAC1,OPRM1,KCNH6	KCNA4,VDAC1,OPRM1,KCNH6	0.00014	0.0332	Voltage-gated ion channel activity
Function	GO:0070679	2	13	9606	ITPR1,ITPR3	ITPR1,ITPR3	0.00017	0.0372	Inositol 1,4,5 trisphosphate binding
Function	GO:0046873	5	432	9606	ITPR1,KCNA4,ITPR3,OPRM1,KCNH6	ITPR1,KCNA4,ITPR3,OPRM1,KCNH6	0.00023	0.048	Metal ion transmembrane transporter activity
Function	GO:0043178	3	91	9606	ITPR1,ITPR3,VDAC1	ITPR1,ITPR3,VDAC1	0.00025	0.0496	Alcohol binding
TISSUES	BTO:0000759	13	2125	9606	CYP51A1,MSMO1,SC5D,SQLE,SIGMAR1,HSPA9,ITPR1,HSPA5,DHCR7,ANK2,NSDHL,ITPR3,VDAC1	CYP51A1,MSMO1,SC5D,SQLE,SIGMAR1,HSPA9,ITPR1,HSPA5,DHCR7,ANK2,NSDHL,ITPR3,VDAC1	7.32e-07	0.0018	Liver
TISSUES	BTO:0001488	19	6403	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,ITPR1,HSPA5,LBR,DHCR7,ANK2,HSD3B1,NSDHL,ITPR3,VDAC1	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,ITPR1,HSPA5,LBR,DHCR7,ANK2,HSD3B1,NSDHL,ITPR3,VDAC1	2.71e-05	0.0273	Endocrine gland
TISSUES	BTO:0001489	26	13099	9606	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	CYP51A1,TMEM97,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TM7SF2,TMBIM4,HSPA9,HSD3B7,ITPR1,FAXDC2,HSPA5,KCNA4,LBR,DHCR7,ANK2,DRD2,HSD3B1,NSDHL,CH25H,ITPR3,VDAC1,OPRM1,KCNH6	2.49e-05	0.0273	Whole body
TISSUES	BTO:0001491	17	5378	9606	CYP51A1,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TMBIM4,HSPA9,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,ANK2,NSDHL,ITPR3,VDAC1	CYP51A1,ERG28,MSMO1,SC5D,SQLE,SIGMAR1,TMBIM4,HSPA9,HSD3B7,ITPR1,HSPA5,LBR,DHCR7,ANK2,NSDHL,ITPR3,VDAC1	5.71e-05	0.0273	Viscus
